chr	start	end	ATAC	CTCF	REST	EP300
chr1	11800	12000	U	U	U	U
chr1	12000	12200	U	U	U	U
chr1	12200	12400	U	U	U	U
chr1	12400	12600	U	U	U	U
chr1	12600	12800	U	U	U	U
chr1	12800	13000	U	U	U	U
chr1	13000	13200	U	U	U	U
chr1	13200	13400	U	U	U	U
chr1	13400	13600	U	U	U	U
chr1	13600	13800	U	U	U	U
chr1	13800	14000	U	U	U	U
chr1	14000	14200	U	U	U	U
chr1	14200	14400	U	U	U	U
chr1	14400	14600	U	U	U	U
chr1	14600	14800	U	U	U	U
chr1	14800	15000	U	U	U	U
chr1	15000	15200	U	U	U	U
chr1	15400	15600	U	U	U	U
chr1	16000	16200	U	U	U	U
chr1	16200	16400	U	U	U	U
